Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly) 
 04/01  18:00:00,20.3,,12.686956890595917,20.684255732153186,32.712082438066936,24.717005175394252,29.57383960633739,21.948855586353513,26.842188132092613,16.486302669606022,49.13047905481304 
 04/01  19:00:00,19.158333333333335,,12.88021239204268,20.3954757249623,33.3236782536539,24.414612726837362,30.134130323037777,21.474688195809307,27.650709005689734,16.503637339940088,49.10942476573434 
 04/01  20:00:00,17.650000000000002,,11.891929475996676,19.72572396449858,34.757562723836635,24.06508992319777,30.790971841206883,21.027075773488885,28.43720042273435,16.509862397578356,49.11957488690674 
 04/01  21:00:00,15.791666666666666,,10.699018590955616,19.08607289962706,36.187632738719124,23.768845456849434,31.360995903470826,20.705466824919743,29.021022330311496,16.506029887124495,49.158367720758946 
 04/01  22:00:00,13.950000000000001,,10.32262234066603,18.5395488554168,37.46472414427086,23.529411851596645,31.833640876228383,20.441419713630257,29.513317437619076,16.49596299092119,49.21649412065824 
 04/01  23:00:00,11.333333333333334,,8.299374419207924,18.080172328919076,38.58200920482275,23.27447599805028,32.345333838771296,20.178688655516247,30.013149671905467,16.48461162114824,49.27929139812408 
 04/01  24:00:00,9.941666666666666,,6.827320221609702,17.64883834179319,39.66614220587009,22.99197473703271,32.92098373446965,19.899964210691518,30.552782033959037,16.474174626115886,49.33999684395752 
 04/02  01:00:00,9.725,,6.450758896289673,17.33042855120544,40.4944866057888,22.79116846855754,33.342673371646534,19.68601012371203,30.978483069001218,16.463545451450535,49.40128541787609 
 04/02  02:00:00,9.308333333333334,,6.325843455101775,17.06419737984645,41.194159858732284,22.608926146539314,33.72280415523177,19.477565382141083,31.391209041696115,16.44920875372951,49.460295513086315 
 04/02  03:00:00,8.283333333333333,,5.929788214890607,16.820801618915677,41.838469266320914,22.433023035111173,34.08791697103622,19.251826311030822,31.838082070701677,16.430914973974335,49.521983574803606 
 04/02  04:00:00,7.116666666666667,,5.399622178546889,16.59254423147328,42.45316397231421,22.262624637273262,34.44588661931488,19.015075739659242,32.31425806657512,16.41124977297935,49.5880873849243 
 04/02  05:00:00,7.575,,6.1158640249895955,16.426086531833516,42.922789963261216,22.13615100903102,34.72650103020826,18.820224101166588,32.7233183054417,16.39356425668898,49.66453886180153 
 04/02  06:00:00,7.966666666666666,,6.568263690028947,16.302840712082645,43.28951308088842,22.030516346889314,34.97370347956434,18.670888776872946,33.052002396148126,16.379598382887206,49.74112576251934 
