Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HOT WATER TEMPERATURE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON DISCRETE HVAC_LIBRARY:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),RDC_ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate [W](Hourly),RPLUS1_ZONE HVAC BASEBOARD RAD CONV WATER 1:Baseboard Total Heating Rate [W](Hourly),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep) 
 10/21  04:00:00,9.6,,9.263216089401391,16.027170467333196,44.3580333069106,19.181213406904476,36.35217154947816,18.554762894567865,37.802572751588855,21.079186002862137,32.32269526726536,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  05:00:00,9.3,,9.133831273501967,16.10136155437089,44.17128206011689,19.24111479201872,36.23535225355254,18.51032280566195,37.928363711555676,21.033911137207674,32.43047331504819,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  06:00:00,9.0,,8.999998740991446,15.866620839549798,44.863953085011744,19.029440128099967,36.73732119547916,18.352621598639548,38.32663948956864,20.969953120429,32.57638918830669,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  07:00:00,8.7,,8.373716837290413,15.582404813447155,45.69506171333003,18.769349299104782,37.344924519857315,18.16234059722994,38.793282247855544,20.903914940480455,32.71402580742519,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  08:00:00,7.6,,7.049063441346945,15.356994790986386,46.39238215639758,18.71696461494673,37.49303078327415,18.11791692595463,38.92825014542207,20.841799492216076,32.86167747052288,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  09:00:00,10.0,,9.400810495856641,15.607796813769582,45.702477394771535,19.167793340942932,36.493506995322576,18.49780123167553,38.05396355600686,20.798069068163446,32.986305509645774,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  10:00:00,11.4,,10.315622760112392,15.900851759841412,44.852029594982994,19.666975188919864,35.37605817755402,19.027028202087966,36.81421907603507,20.76469633137713,33.05380918174967,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  11:00:00,14.0,,12.215836076319254,16.319269542959418,43.66877239860237,20.09602809519413,34.44615724193463,19.529888032097013,35.67759266888277,20.75508442912882,33.07201474035874,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  12:00:00,14.6,,11.936502341868838,17.123367939063236,41.4997018119957,20.974178520879075,32.63628178439144,20.4185636410284,33.772890639304926,20.775841065754612,33.03079692409767,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  13:00:00,15.2,,11.597639052199762,17.260982788786887,41.135252587212065,20.748068109783013,33.08835481462485,20.53217051328964,33.53162770678574,20.788188001970667,33.00671015298514,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  14:00:00,15.0,,11.081259222442839,17.31279916301106,40.999370151539864,20.483898559229374,33.6309263498753,20.344672680495748,33.921288279661646,20.792926635049433,32.99606216133435,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  15:00:00,17.0,,11.467975929216905,17.315256180111778,40.99172501965449,20.269978613426325,34.076851246173206,20.109503934025895,34.41677995948594,20.803277889230156,32.97402289238579,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  16:00:00,15.7,,10.989592841893815,17.25739443864528,41.15138088517509,20.110986592272905,34.421428578615284,19.955414468344014,34.754658014409216,20.810727146722012,32.96637897671159,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  17:00:00,15.0,,10.158673795016858,17.073039816428267,41.62642950199379,19.88650222294982,34.896589099994266,19.727700038452053,35.24207334609117,20.805157985762396,32.97122528056382,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  18:00:00,12.0,,8.854273830088175,16.622139253432458,42.87829270803783,19.551058348027468,35.666389818937795,19.339098932196276,36.14005581502241,20.78461893752365,33.045279281931485,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  19:00:00,10.8,,8.447782470430706,16.25527127660763,43.89261497063299,19.31235186505554,36.20098620407653,19.035174117945438,36.83203038930728,20.751125586954057,33.114868503040846,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
