Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HIGH TEMP RADIANT SETPOINT:Schedule Value [](Hourly),MEETING THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),NaturalGas:Facility [J](TimeStep) 
 02/27  12:00:00,-1.0,,-1.8393520786344137,21.155754799939057,32.35998761574254,20.981731699824564,32.7078110079375,21.20896676876391,32.25446361633406,15.521232160977252,46.08595747362575,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,4937.872874284088,17776342.347422715,16049.46254353737,57778065.156734526,18629.982362453175,67067936.504831426,158469271.12109852 
 02/27  13:00:00,0.1,,-1.087402847012087,21.296150780944735,32.27270410041012,21.026053403588268,32.81230688163513,21.364160294429297,32.13841336394718,15.54471282901072,46.289557132623166,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,4277.890496436689,15400405.787172081,14222.20426406801,51199935.350644834,16799.575971913026,60478473.49888689,141198682.9296709 
 02/27  14:00:00,0.0,,-1.3020118330285084,21.180872029613777,32.31477855530345,21.00521050858661,32.665339817498214,21.246274100398455,32.185341724892076,15.569044393296338,45.95148236157801,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,3541.743633362515,12750277.080105055,12415.827512464615,44696979.04487261,13609.969273599949,48995889.38495982,118270161.67770831 
 02/27  15:00:00,0.0,,-0.8813355446975697,21.22902922181046,32.2194150624086,20.984669944199126,32.70660983045231,21.236730065727667,32.2041945309537,15.590533130388033,45.88822069214581,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,3440.9976838079247,12387591.661708528,11728.543217286193,42222755.58223029,13198.518827115004,47514667.77761401,113472238.91283648 
 02/27  16:00:00,-0.1,,-0.6215675572164189,21.20548774197441,32.43579575511249,20.97404057671992,32.90022336663358,21.245843236836144,32.35557478509561,15.60679723802327,46.08164189719545,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,3303.8748073765832,11893949.3065557,11818.808812184656,42547711.723864764,12925.106802831435,46530384.490193166,112191161.6895707 
 02/27  17:00:00,0.4,,-0.5165160857138089,21.219133769157516,32.32646539850247,20.9843652702197,32.79597478404768,21.207477563915102,32.34959824321961,15.61674615966509,45.9354916371316,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,3299.2406626778156,11877266.385640137,11807.45035457225,42506821.276460096,12682.42580162305,45656732.88584298,111156467.27549246 
 02/27  18:00:00,1.0,,-0.35005169396276054,17.807843268015024,39.964317809545825,18.991926580075855,37.05401600180659,18.40457181008569,38.483240320552866,15.61761300808533,45.81570025743899,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  19:00:00,0.4,,-0.8797791243550045,16.605260159252932,43.28549066232342,18.432359409178076,38.56289729587982,17.451244322731114,41.02378219335411,15.612544409564011,46.10894472743688,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  20:00:00,0.0,,-1.3020118330285084,15.82321135354875,45.21301412782995,18.070014416147536,39.20523055272116,16.887215051654124,42.24783749955112,15.604829749271405,45.84618687946521,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  21:00:00,0.0,,-0.8813355446975697,15.420672242552508,46.39148310117463,17.92323260317209,39.56818016054147,16.595667038739272,43.03587020824001,15.59512712322983,45.87470946586724,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  22:00:00,-0.3,,-1.2826204539890032,15.023021020102078,47.931376857096,17.72259131198119,40.356677434347894,16.28115499442267,44.21888623381021,15.582594879948047,46.23813407737665,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  23:00:00,-0.2,,-1.187256448447652,14.755843359811088,48.77829948206645,17.551776573836495,40.80621524083252,16.026385459393683,44.95712293906512,15.572379880364865,46.28259113719087,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/27  24:00:00,-0.2,,-1.2462081510484733,14.512254853228372,49.566958052643464,17.39300901211533,41.230153056735304,15.788376487156984,45.66056941195703,15.563671434750646,46.322614795624126,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  01:00:00,-0.1,,-1.2106681340184222,14.285619274682062,50.3140904341982,17.23418713355523,41.65872415935674,15.551652769228145,46.37203980478303,15.555619086555888,46.36024720147074,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  02:00:00,-0.1,,-1.2703528893433047,14.098554909656443,50.92470335946502,17.097389084449162,42.01858113458087,15.330185698101536,47.032994786704066,15.548551706988336,46.37842400458179,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  03:00:00,-0.1,,-1.330162706566047,13.92319128677192,51.50448731221723,16.96260297824428,42.37652702299386,15.112302624166663,47.693548050729945,15.541703666299908,46.39595770599789,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  04:00:00,-0.1,,-1.330212869288385,13.757397688672773,52.058747382790635,16.826581152333855,42.740823806541826,14.897190587659008,48.355404917561415,15.53518362648878,46.41204767952143,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  05:00:00,-0.1,,-1.1535036669988155,13.631592944738381,52.282690569382275,16.71876519437773,42.86730296330033,14.707896376610371,48.75924157181111,15.530612488792817,46.24526159238371,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  06:00:00,0.0,,-0.8813355446975697,13.494590214809453,52.54555476009921,16.602626835279015,43.01650774767033,14.514954392129031,49.1781913962408,15.526428361438349,46.07723132941033,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/28  07:00:00,-0.5,,-1.5889574923561882,13.330764834760801,53.548816502051935,16.450094890268698,43.79504680463459,14.30097319387652,50.27587496383945,15.522075505993946,46.47098030832835,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
