Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 10/20  07:00:00,10.6,,10.074987830099078,16.14089001282575,43.55318156683845,5.313597005123576,18.38478008692304,4.246092810496486,19.810515491136123,14.159822161035095,49.78873365130033,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,34190347.84584833 
 10/20  08:00:00,11.0,,10.468167527189426,16.108354852652063,43.66777906639827,19.032258005176377,7.6061042722093415,18.50272497454823,7.87646689052059,14.098192301491006,50.01614175928791,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,30082.42318370108,26827.401406002722,1861.9102397492543,45874.956830226685,8796.129865521814,10434.487236921836,10434.487236921836,75933098.43189448 
 10/20  09:00:00,11.1,,10.656172123830165,16.403890632859625,42.8842801656183,19.96907218407874,7.025048453617059,20.165825359177752,6.9405769111467235,14.040489235500587,50.23967962864798,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,21918.346575382046,18724.203928850646,1861.910239749256,39457.2386992253,7854.2362287968335,0.0,0.0,34978127.286765926 
 10/20  10:00:00,11.3,,10.943282800397135,16.332965946333065,43.10835382401701,19.995051592617635,7.018723616651522,20.670599739336158,6.731861794593321,14.003483205886802,50.39649995585282,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,18991.078242349256,15510.44501356305,1861.9102397492563,33066.18808816554,6808.766641684453,0.0,0.0,31214436.77316136 
 10/20  11:00:00,12.0,,11.999996133721762,16.425570476333164,42.88041846092255,19.999395178792273,7.021054745781165,20.829096387316255,6.6704160278704405,14.008075515366194,50.411768784062176,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17470.118580461414,13974.21871049687,1861.9102397492563,29715.08860991481,6189.31909122186,0.0,0.0,28984425.59149602 
 10/20  12:00:00,13.0,,12.433890026164876,16.572031630878595,42.483842817499585,19.999816047775383,7.021089663816007,20.88072177517075,6.649465348067293,14.048556107398152,50.281071956486734,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,16219.338708954629,12817.56974350997,1861.9102397492563,27248.570201623603,5690.523573359689,0.0,0.0,27188761.7271922 
 10/20  13:00:00,12.9,,12.144901050623657,16.578519983235342,42.45310991136769,19.999943621805485,7.018852088793327,20.90959464485479,6.635601580621331,14.10467644890286,50.08277822688557,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,15448.720624631547,12108.903081462431,1861.9102397492563,25736.684988022043,5427.605747831726,0.0,0.0,26242257.55529154 
 10/20  14:00:00,13.0,,12.433890026164876,16.553022104018744,42.53525348249178,19.99998260431011,7.021017494470192,20.916525458219667,6.634835911814004,14.164545182476568,49.904245487533615,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,14701.114867777727,11451.040341545584,1861.9102397492563,24300.093627094822,5160.919605943571,0.0,0.0,25282187.44449418 
 10/20  15:00:00,13.0,,12.433890026164876,16.51822495881594,42.629540829974715,19.999994600590043,7.02101210254108,20.912140925399587,6.636625284298709,14.224462237804438,49.71082799068706,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,14094.858750720385,10931.657192370772,1861.9102397492563,23158.43499703514,4950.9944259582935,0.0,0.0,24526456.796547182 
 10/20  16:00:00,13.3,,12.43860325243086,16.46668779912388,42.76297429900515,19.99999831509853,7.019919241714594,20.902408889632998,6.639567421467789,14.283947217255312,49.51193991337002,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,13560.855079675075,10482.45100074316,1861.9102397492563,22167.661848685322,4748.889399188545,0.0,0.0,23798878.700176083 
 10/20  17:00:00,13.0,,12.433890026164876,16.390279534900284,42.97825410687401,19.999999471753274,7.021010028723416,20.887142750602713,6.646839021121067,14.342202922200608,49.33319439930436,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,13127.805660528802,10128.57616606358,1861.9102397492563,21372.920181600282,4617.0506479043615,0.0,0.0,23324259.195553027 
 10/20  18:00:00,12.0,,11.451504104625641,16.19882122771543,43.55293896106375,8.504160971492515,15.231610240608488,8.822369446486082,14.938342516019045,14.389568243044456,49.234713762420505,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492554,0.0,0.0,0.0,0.0,50768882.21950338 
 10/20  19:00:00,11.6,,11.058417712119503,16.054253529313453,43.94970679433362,6.596614424108428,16.92150217143755,6.41383915736016,17.148111817911794,14.432999775561408,49.088926467414765,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492557,0.0,0.0,0.0,0.0,48059436.73777586 
 10/20  20:00:00,11.0,,10.999998157099855,15.927409896483681,44.312388052459404,10.644618891379874,12.877114030611827,10.333279031300723,13.14748991039483,14.455139714579737,49.02423162549624,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,17236304.31481695 
 10/20  21:00:00,11.0,,10.735699008394839,16.031305499813254,44.04326335061045,6.15425466915049,17.567548511707567,5.672859361966312,18.17571972662535,14.445049775352436,49.083143738578244,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,40339729.444688745 
 10/20  22:00:00,11.0,,10.558272930915129,15.730305386603284,44.92499432988116,10.352444879540064,13.153457340784291,9.855395473602764,13.59934685998202,14.406240126510028,49.23353754389315,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492566,0.0,0.0,0.0,0.0,10654790.695990343 
 10/20  23:00:00,11.0,,10.469099275300524,15.601628496302185,45.29121376449731,5.525335611112548,18.238760187678587,5.312880651311557,18.499137437663997,14.355366643580183,49.3908083694129,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492557,0.0,0.0,0.0,0.0,35068094.79446416 
 10/20  24:00:00,11.0,,10.469099275300524,15.504077060910067,45.57534928913707,5.03127155866653,18.817678783306793,4.265029912976269,19.855183008082605,14.299709304228527,49.56910598828073,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,44878349.72277032 
 10/21  01:00:00,10.3,,9.955209276375848,15.36064045677583,46.00628631967863,5.000210246020585,18.862296963745088,4.074760723892973,20.1247607423432,14.235446579314027,49.78612151431719,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,42740698.31019427 
 10/21  02:00:00,10.1,,9.757499171378521,15.472634597688584,45.67341774833725,5.000061914051185,18.861127011539068,4.034689697091274,20.180054573356134,14.16134968825573,50.02215880547982,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,40219802.31321372 
 10/21  03:00:00,9.8,,9.460929429709928,15.46486125708972,45.69337023968628,5.000018365553483,18.86001405441898,3.9817435283946017,20.2540566240734,14.07755055198676,50.29161566629531,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,38679395.513033964 
 10/21  04:00:00,9.6,,9.263216089401391,15.111240341823482,46.74166942806306,5.000002939611511,18.85886440090127,3.947363753786176,20.30183069621065,13.987056868167839,50.584747783760506,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,37392213.37125021 
 10/21  05:00:00,9.3,,9.133831273501967,15.150771115767741,46.64746435433179,5.000000358897842,18.86920318620275,3.9058992812782414,20.372297571261477,13.899288650069638,50.90170351590508,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,36084221.77272998 
 10/21  06:00:00,9.0,,8.999998740991446,14.93232999077035,47.33453210758475,5.0000001083159535,18.87973384233592,3.886879184937069,20.410967191672945,13.800252116590865,51.25895902175374,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,35133867.97663195 
 10/21  07:00:00,8.7,,8.373716837290413,14.661884027454352,48.174999835365924,5.000000032880332,18.8826589374404,3.8744640977228832,20.431974213650715,13.703578560829214,51.590251775060736,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,34004072.93205766 
 10/21  08:00:00,7.6,,7.049063441346945,14.413269896030299,48.988777288109695,5.000000010037261,18.895529355900095,3.850316882035496,20.480682100571883,13.610782505290238,51.9381635263375,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,33740642.674242884 
 10/21  09:00:00,10.0,,9.400810495856641,14.629037072378297,48.36305766079567,5.000000003045706,18.916200027971733,3.7932349110844403,20.585659934216725,13.531664065353988,52.26360168073708,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,35369603.41825311 
 10/21  10:00:00,11.4,,10.315622760112392,14.929867800611476,47.43368343236474,5.00000000049206,18.91600502163143,3.7772975302286653,20.608568282993346,13.472410875935264,52.465276094491614,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,36820830.825373836 
 10/21  11:00:00,14.0,,12.215836076319254,15.366649726740713,46.11787962956262,5.000000000078888,18.915224996270243,3.781925071562587,20.601002561980167,13.435417607659167,52.58976721945083,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,38525554.469395906 
 10/21  12:00:00,14.6,,11.936502341868838,16.12385580311114,43.94201066231928,5.000000000007408,18.915810015291136,3.813399136291589,20.556027295832386,13.417888275668655,52.65153846249112,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.910239749256,0.0,0.0,0.0,0.0,40774349.92972355 
 10/21  13:00:00,15.2,,11.597639052199762,16.2998549133246,43.44654627729059,5.000000000000256,18.91639503431204,3.879828202615842,20.46075243754702,13.407598372202044,52.68850873859914,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,39473167.751812324 
 10/21  14:00:00,15.0,,11.081259222442839,16.302465759952923,43.437971269827095,5.000000000000076,18.915810015291143,3.9007746299034576,20.42998227553163,13.397165499445428,52.72273903171087,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,38270423.62229662 
 10/21  15:00:00,17.0,,11.467975929216905,16.305492958630513,43.42824691285105,5.000000000000023,18.91522499627025,3.8742798026156673,20.467477792652268,13.37991287867459,52.78046745585908,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,37386108.879785165 
