Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 05/19  11:00:00,12.0,,8.865697703650266,16.715093753182593,42.96782615908407,21.482519067788274,23.653695211493428,21.146791142260984,24.145852195443048,20.98054346471622,32.911622682557436,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,33.539714572911365,434.2786508844173,1861.9102397492563,0.0,0.0,0.0,0.0,7334761.647361039 
 05/19  12:00:00,12.0,,7.950505954586406,17.129115815108655,41.85344613675338,21.764283981059148,23.24930679180575,21.583727974106058,23.507589379263386,21.02136580019053,32.82914538154901,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,280.85146156647806,499.7233233160137,1861.9102397492563,0.0,0.0,0.0,0.0,7174095.3841838185 
 05/19  13:00:00,12.9,,8.722917770862745,17.739135213623392,40.256905378347795,22.09056925676269,22.78239755026587,22.032396497584763,22.863463600385515,21.073897437832514,32.710983165416515,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,325.92768690526515,365.11855022187405,1861.9102397492563,0.0,0.0,0.0,0.0,7194509.563216158 
 05/19  14:00:00,13.0,,8.04958711241234,18.385214500843084,38.66791026507118,22.413086673507795,22.346729996822482,22.460525150656608,22.282585847387043,21.125240381342977,32.618333016209064,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,556.0366258426297,414.72928079888777,1861.910239749256,0.0,0.0,0.0,0.0,7106874.889806574 
 05/19  15:00:00,14.0,,8.878962781456641,19.080794030206263,37.021449382000384,22.721170775295885,21.93291798108141,22.82231120989321,21.798855760352918,21.192041116845978,32.48582874461434,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,768.4399001329238,522.6585814213055,1861.910239749256,119.31057467764238,28.923381579205206,0.0,0.0,7088776.144601421 
 05/19  16:00:00,14.5,,9.525145195683898,19.784058593706447,35.4394065387502,22.891945848834006,21.708486146525143,23.034593005286585,21.521819313923203,21.262647505700663,32.34771080116718,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,893.7403146536476,572.3817321776583,1861.910239749256,0.0,0.0,0.0,0.0,6864263.423109376 
 05/19  17:00:00,14.0,,8.418792960823309,20.3100101676552,34.300168660916185,22.920930416822735,21.66881297286139,23.077607863881752,21.46427824700342,21.32293429989923,32.22601893098849,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1084.1501551455917,717.5450217237061,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  18:00:00,13.0,,7.609505312013073,20.65366921469893,33.61465913200651,22.84176747694184,21.795715110408583,22.976937828393353,21.617998601165212,21.384478527226506,32.138114865437075,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1197.2956199399414,846.1581968647035,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  19:00:00,12.7,,7.476212709058714,20.632868691170906,33.666211918733666,22.696897142891956,21.99360438713788,22.8145867563896,21.837188468593094,21.42701521908792,32.0626266678451,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1288.6607369718836,950.1749124483014,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/19  20:00:00,11.0,,7.09421653705279,20.13603139031511,34.73932409395053,22.489397724605432,22.2870955780228,22.572186947751476,22.17530988295581,21.44614557539742,32.04598712333721,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1426.4401075713504,1119.1517543875884,1861.9102397492563,272.0809505349298,69.13033917444938,0.0,0.0,6951746.084125341 
 05/19  21:00:00,6.8,,4.131835670431705,19.15203204575586,36.972436557837234,22.03620363840709,22.934554210238844,22.085592944050852,22.86561105700082,21.4384481889865,32.09314192166712,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1534.054629882814,1259.8479160113484,1861.9102397492563,424.783668080497,115.98472285452713,0.0,0.0,7120421.865373621 
 05/19  22:00:00,7.1,,4.975354047007815,18.5496596548859,38.40396410011199,21.636136553844146,23.51314441607125,21.682402209024794,23.44664793016662,21.421058900149355,32.144044663874304,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1422.7661838600702,1167.8000334891453,1861.910239749256,422.8496023113484,114.68434430095411,0.0,0.0,7319958.576858173 
 05/19  23:00:00,4.1,,2.361673525410776,17.917158562436434,39.9816570591712,21.280268932277195,24.044060850896745,21.31284121005998,23.99610108615292,21.37763650995868,32.2467649615606,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1421.562363220444,1186.189698833764,1861.910239749256,259.4597739274176,83.33171226069443,0.0,0.0,7017214.338418529 
 05/19  24:00:00,3.1,,1.8413932881065387,17.411503588706438,41.274073791886394,20.98591757067142,24.481006691925955,20.986078907461962,24.480778777041838,21.325011744836242,32.3493200662308,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1409.607931795178,1221.8226973886053,1861.9102397492563,414.09336915392436,138.4199915074339,0.0,0.0,7406524.351594329 
 05/20  01:00:00,2.2,,1.2481104108213525,17.03321254322661,42.285656658184436,20.77756777887108,24.803905694125397,20.733433860763792,24.871441961396513,21.249604237742055,32.50854349681481,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1338.4918974211928,1223.0318088557315,1861.9102397492563,288.44740499063386,99.4923624410713,0.0,0.0,7078780.583341784 
 05/20  02:00:00,2.0,,1.247244241403714,16.734318671659462,43.10236962294849,20.581747276317245,25.109079338539843,20.49283084936655,25.247204066996936,21.170700445898778,32.671659127920975,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1284.31015746485,1239.6135106010538,1861.9102397492563,279.797799912804,98.09637155858411,0.0,0.0,7073632.186685938 
 05/20  03:00:00,1.7,,1.2065300542781898,16.47954427106522,43.81327205749561,20.393534963976908,25.406500508564655,20.2611744624942,25.61513365140741,21.097010553240278,32.82515035404452,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1182.9552648537301,1213.3992394732581,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  04:00:00,1.5,,1.1951101065353624,16.21503781569567,44.56530878437149,20.296156637295574,25.56396640698223,20.12134722375044,25.841837620038255,21.02714899692856,32.97171021174909,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1342.3622310391036,1411.8386835937597,1861.9102397492563,534.4442645777265,194.58519179665052,0.0,0.0,7438888.04013635 
